Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU)
(2002 CB26),3.364497505950558,0.7230224185930485,6.818845543174323,8,9,996.6492646381372,0.5408463475529532
(2002 SN),2.6860675748905916,0.3779969554143688,6.425274761666769,20,5,994.0344621731964,1.2124425986429652
(2000 WJ107),3.033095520558558,0.5581869680518554,5.99329134164235,12,7,991.9692430991768,0.8600130508097767
(1998 VP),2.865972227449308,0.4753906495180857,44.706726729755424,12,9,988.8851453392754,1.019062869371232
(1995 CS),3.4466055527901314,0.7752173940701759,2.6029076435007408,12,9,988.1172591288437,0.4364180862334102
(1994 GK),3.1003270558219618,0.6008315940265806,5.630593694109097,12,8,984.4444658536412,0.7730685810341199
(1997 MS),3.335354271406551,0.7267457879427779,54.97865649754966,12,8,980.5478102721705,0.527813422061806
(2001 VJ5),3.013347515575941,0.5605505765784435,6.074158328858418,8,8,980.0663626129788,0.8485555342858592
431394 (2007 FS35),2.672023689040027,0.3899960612074325,0.3191740553337366,39,0,973.5057669889868,1.1726256068996321
(1996 AP1),2.865815068770662,0.4955199164428823,5.462479052438222,12,8,968.9076125949106,0.9667184030496913
(2000 KP44),3.3503785059367766,0.7524143646724872,28.058281109015216,11,8,965.5705936882404,0.4733501434947595
(2000 WG63),2.8167729369085537,0.474382579850978,9.193228958515649,11,7,964.5192496427018,1.004179610147797
(1999 FQ10),2.826476663844198,0.479981384403361,1.072660694381636,11,9,964.0113650376976,0.993134438877425
(2002 TG66),2.923674795125256,0.5414560037478949,4.723435857209085,7,9,954.1031332289152,0.8697189676764527
(2001 SX269),2.530633696650399,0.3463868048707804,4.023607621226098,10,7,941.2122840716333,1.228514398823215
(2003 LW2),2.7793621048456156,0.479440571708345,2.2962636114110104,10,8,940.5239040337456,0.9779528667672294
(1997 XE10),2.762573770070358,0.4770652101187525,6.323820788015232,12,7,934.2642895688292,0.978051560680278
341816 (2007 YK),2.4722811010604597,0.3219254263571161,31.833042279504625,62,0,934.1890367739543,1.268143361268593
452307 Manawydan (1997 XV11),2.460516407871797,0.3177759552910391,44.267210363616584,42,0,931.9131856580047,1.2738306911058541
(2001 WM15),2.970540669540152,0.5936066194228522,5.408267338773854,11,8,929.565492351414,0.7575320346457485
(1996 TC1),3.200513528028043,0.7190250695432581,14.508410130640712,12,9,927.9073445493648,0.5231244627528755
(2002 DO3),2.788894022347753,0.4993323508529411,3.801698425759352,7,6,926.6155335558203,0.9312871913253932
(2002 XB40),2.88399201128217,0.5539132289481108,6.7993352335899875,8,8,923.5264972313797,0.8279166816304044
