"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"410777 (2009 FD)","2185-2198","7","1.6e-3","15.87","22.1","0.160","-1.78","-1.83","","a0410777"
"101955 Bennu (1999 RQ36)","2175-2199","78","3.7e-4","5.99","20.2","0.490","-1.71","-2.32","","a0101955"
"29075 (1950 DA)","2880-2880","1","1.2e-4","14.10","17.6","1.300","-1.42","-1.42","","a0029075"
"(2008 EX5)","2061-2090","16","4.7e-5","9.92","23.8","0.059","-3.88","-4.16","0","bK08E05X"
"(2008 UB7)","2044-2100","33","3.5e-5","18.51","23.9","0.058","-3.71","-4.31","0","bK08U07B"
"(2017 UR51)","2030-2115","102","2.5e-5","10.36","22.4","0.111","-3.17","-3.70","0","bK17U51R"
"99942 Apophis (2004 MN4)","2060-2105","12","8.9e-6","5.85","19.1","0.370","-2.83","-2.93","0","a0099942"
"(2007 WP3)","2098-2114","17","7.7e-6","13.03","23.5","0.067","-4.62","-4.99","0","bK07W03P"
"(2017 UE43)","2044-2113","65","7.0e-6","7.83","23.6","0.064","-4.70","-5.19","0","bK17U43E"
"(2012 QD8)","2042-2105","4","6.5e-6","20.76","23.1","0.081","-3.81","-3.95","0","bK12Q08D"
"(2002 RB182)","2053-2116","26","6.1e-6","13.26","22.8","0.092","-4.33","-5.03","0","bK02RI2B"
"(2010 GZ60)","2017-2116","480","5.4e-6","3.01","16.1","2.000","-0.80","-1.75","0","bK10G60Z"
"(2016 WG)","2076-2115","25","4.6e-6","23.58","23.3","0.074","-4.36","-5.31","0","bK16W00G"
"(2010 WC9)","2027-2114","19","4.3e-6","12.67","23.4","0.070","-4.00","-4.02","0","bK10W09C"
"(2007 KO4)","2022-2116","315","4.3e-6","13.71","23.3","0.075","-4.39","-5.18","0","bK07K04O"
"(2005 ED224)","2018-2064","6","3.0e-6","25.14","24.0","0.054","-3.50","-3.72","0","bK05EM4D"
"(2000 WJ107)","2114-2115","14","2.9e-6","12.78","23.1","0.081","-4.90","-5.59","0","bK00WA7J"
"(2002 MN)","2070-2109","8","2.8e-6","10.37","23.3","0.073","-4.91","-5.27","0","bK02M00N"
"(2017 OM1)","2084-2113","5","2.1e-6","15.78","23.3","0.073","-4.95","-5.21","0","bK17O01M"
"(2006 QN111)","2079-2079","1","1.9e-6","10.55","23.8","0.060","-5.27","-5.27","0","bK06QB1N"
"(2006 JE)","2094-2112","5","1.8e-6","26.35","23.8","0.058","-5.05","-5.12","0","bK06J00E"
"(1999 RZ31)","2056-2056","2","1.6e-6","8.20","23.8","0.059","-5.23","-5.29","0","bJ99R31Z"
"(2007 FT3)","2019-2116","165","1.5e-6","17.06","20.0","0.340","-2.82","-3.17","0","bK07F03T"
"(1996 TC1)","2064-2072","3","1.3e-6","24.01","23.9","0.055","-5.03","-5.05","0","bJ96T01C"
"(2005 CC37)","2095-2117","3","1.3e-6","8.42","22.7","0.098","-5.17","-5.23","0","bK05C37C"
"(2017 PY26)","2108-2117","6","1.2e-6","19.98","22.4","0.110","-4.71","-5.30","0","bK17P26Y"
"(2012 ES10)","2054-2064","7","1.0e-6","24.34","23.7","0.061","-4.94","-5.31","0","bK12E10S"
"(2010 MA113)","2038-2114","144","9.7e-7","4.97","22.3","0.120","-4.86","-5.28","0","bK10MB3A"
"(2011 VG9)","2086-2112","5","7.7e-7","24.78","22.2","0.124","-4.61","-5.19","0","bK11V09G"
"(2014 MO68)","2020-2116","203","7.5e-7","8.09","23.6","0.066","-5.40","-6.47","0","bK14M68O"
"(1979 XB)","2056-2113","2","7.4e-7","23.92","18.5","0.662","-2.82","-3.12","0","bJ79X00B"
"(2005 WG57)","2029-2104","7","7.2e-7","9.88","23.6","0.063","-5.41","-5.59","0","bK05W57G"
"(2016 NL56)","2023-2117","254","7.2e-7","15.20","20.6","0.264","-3.67","-4.51","0","bK16N56L"
"(2011 XC2)","2056-2056","1","6.7e-7","20.75","23.0","0.085","-4.86","-4.86","0","bK11X02C"
"(2013 WM)","2047-2105","2","6.2e-7","35.38","23.9","0.055","-5.15","-5.38","0","bK13W00M"
"(2017 NT5)","2050-2115","6","5.8e-7","20.15","22.9","0.090","-5.23","-5.67","0","bK17N05T"
"(2008 PK9)","2045-2065","9","5.2e-7","26.64","23.2","0.078","-4.82","-5.16","0","bK08P09K"
"(2015 YV20)","2020-2116","175","5.2e-7","5.95","22.4","0.113","-4.92","-5.59","0","bK15Y20V"
"(2017 QC36)","2024-2117","79","5.0e-7","4.51","23.1","0.081","-5.27","-5.61","0","bK17Q36C"
"(2008 FF5)","2060-2060","1","4.8e-7","39.47","23.1","0.081","-4.70","-4.70","0","bK08F05F"
"(2017 FB1)","2098-2106","3","4.1e-7","22.16","23.4","0.071","-5.55","-5.81","0","bK17F01B"
"(2015 RN35)","2092-2114","5","4.0e-7","5.73","23.1","0.082","-5.92","-6.24","0","bK15R35N"
"(2010 XB73)","2023-2110","50","2.8e-7","5.98","22.5","0.110","-5.16","-5.96","0","bK10X73B"
"(2010 KJ37)","2024-2115","57","2.4e-7","6.62","23.9","0.055","-5.74","-5.99","0","bK10K37J"
"(2015 HV182)","2018-2101","193","2.0e-7","6.82","21.7","0.157","-4.50","-5.47","0","bK15HI2V"
