,Asteroid_name,Closest_Date,Distance_in_100000_miles,Max_Size_Miles,Min_Size_Miles,Potential_Danger,Relative_Velocity_MPH
0,21277 (1996 TO5),1945-06-07,31.0717325,2.3301879883,1.0420917484,False,34693.2449694979
1,153306 (2001 JL1),1932-03-30,457.6962,1.6880719724,0.7549287363,False,29874.2361026543
2,153306 (2001 JL1),2058-03-29,458.10576,1.6880719724,0.7549287363,False,29911.4720926992
3,153306 (2001 JL1),2188-03-28,457.28376,1.6880719724,0.7549287363,False,31235.3398066838
4,163335 (2002 LJ),1901-06-12,456.36104,1.4702492252,0.6575154423,False,67209.9435274813
5,163335 (2002 LJ),1927-06-14,461.48672,1.4702492252,0.6575154423,False,64425.84330313
6,210012 (2006 KT1),1956-01-02,1821.4056,1.6880719724,0.7549287363,False,4454.462954167
7,210012 (2006 KT1),2110-01-27,1824.20752,1.6880719724,0.7549287363,False,4443.2953662475
8,210012 (2006 KT1),2169-09-12,1828.29376,1.6880719724,0.7549287363,False,4449.3498232937
9,277473 (2005 WD1),1930-08-27,80.794355,1.5395399365,0.6885031904,False,42978.1298373619
10,277473 (2005 WD1),1933-11-01,457.48892,1.5395399365,0.6885031904,False,51009.0977278173
11,305090 (2007 VQ4),2011-03-01,1847.75712,2.125156703,0.9503989702,False,14676.9137295958
12,305090 (2007 VQ4),2165-05-08,1816.97232,2.125156703,0.9503989702,False,15145.1073491375
13,315020 (2007 BG49),1990-05-26,64.91062,0.6720335566,0.3005425432,False,20247.2926722444
14,315020 (2007 BG49),1997-11-29,28.50816,0.6720335566,0.3005425432,False,18010.0347388415
15,315020 (2007 BG49),2005-06-03,60.803485,0.6720335566,0.3005425432,False,16027.0955835119
16,315020 (2007 BG49),2102-06-06,85.10478,0.6720335566,0.3005425432,False,18013.5958415538
17,341816 (2007 YK),1990-01-13,464.3978,1.1678604717,0.5222830806,False,36088.16075205
18,341816 (2007 YK),2123-01-15,463.4348,1.1678604717,0.5222830806,False,36176.8763577268
19,356285 (2010 DE),1957-09-17,65.655955,1.2805335433,0.5726720101,False,30567.6514009198
20,356285 (2010 DE),2083-09-21,52.687945,1.2805335433,0.5726720101,False,30714.1472180857
21,356285 (2010 DE),2108-02-07,462.02568,1.2805335433,0.5726720101,False,25042.9268564295
22,356285 (2010 DE),2191-02-11,460.37136,1.2805335433,0.5726720101,False,25481.4376895962
23,385580 (2004 XO14),1969-12-22,441.41588,2.2253122528,0.9951898937,False,32073.4120684668
24,385580 (2004 XO14),2017-12-24,439.46556,2.2253122528,0.9951898937,False,28863.5574726306
25,385580 (2004 XO14),2126-12-23,432.528,2.2253122528,0.9951898937,False,33892.4409016626
26,385580 (2004 XO14),2174-12-25,432.0096,2.2253122528,0.9951898937,False,29598.9115468407
27,397237 (2006 KZ112),1927-07-10,1857.7704,1.6880719724,0.7549287363,False,36468.3303691282
28,397237 (2006 KZ112),1939-05-18,1832.63328,1.6880719724,0.7549287363,False,36217.0429554946
