,Asteroid_name,Closest_Date,Distance_in_100000_miles,Max_Size_Miles,Min_Size_Miles,Potential_Danger,Relative_Velocity_MPH
32,(1979 XB),1979-12-17,34.01319,0.7037055224,0.3147066768,True,51507.8587465671
65,(1994 NE),1915-08-02,288.32012,0.4049402617,0.1810947904,True,36614.6101163347
66,(1994 NE),1918-06-30,135.23307,0.4049402617,0.1810947904,True,53862.7355809869
67,(1994 NE),1994-07-08,16.68981625,0.4049402617,0.1810947904,True,47203.5276906036
106,(1997 GD32),1994-04-13,321.85414,0.1850934111,0.0827762899,True,54754.1306397807
107,(1997 GD32),1997-05-03,30.8022725,0.1850934111,0.0827762899,True,33971.2997039383
119,(1997 VG6),1997-10-16,204.69968,0.4440081677,0.1985664891,True,32273.4288566625
122,(1998 BY7),1995-06-29,25.798495,0.1850934111,0.0827762899,True,33641.9105282546
123,(1998 BY7),1998-02-21,26.1032475,0.1850934111,0.0827762899,True,32666.2692592651
124,(1998 BY7),1999-08-24,1634.876,0.1850934111,0.0827762899,True,7519.7788711259
137,(1998 HT31),1998-05-08,29.5638925,0.2555000322,0.1142630881,True,40010.3665091181
153,(1998 QA62),1998-09-13,154.39848,0.5853167591,0.2617616123,True,67693.3705865469
158,(1998 US18),1998-10-19,107.71427,0.2675413778,0.1196481415,True,43378.3084013196
166,(1998 XD12),1998-12-05,31.6605975,0.2675413778,0.1196481415,True,47932.5290534305
167,(1998 XD12),2000-04-24,290.54158,0.2675413778,0.1196481415,True,65530.7463900019
180,(1999 FR19),1999-03-19,40.202665,0.1470249225,0.0657515442,True,37533.469392852
185,(1999 LX1),1999-06-08,60.02942,0.2801502144,0.1252869847,True,53494.942221394
210,(1999 TO13),1999-10-05,29.25675,0.1938165949,0.0866774163,True,33442.0491073105
211,(1999 TT16),1914-02-26,178.4153,0.4440081677,0.1985664891,True,28841.2347221426
212,(1999 TT16),2000-01-24,235.59796,0.4440081677,0.1985664891,True,32876.5380935128
229,(1999 XS35),1999-11-05,42.192545,1.34088323,0.5996612104,True,39713.8336319935
